image_id,R,G,B,gray,grad_mag,grad_dir,laplacian,local_std,x_norm,y_norm,is_edge
100075,0.09411765,0.15294118,0.16470589,0.13725491,0.111270785,0.64350116,0.019607857,0.03864882,0.775,0.75625,1
100075,0.34509805,0.41568628,0.36862746,0.3764706,0.2213447,1.0963964,0.07973859,0.112370744,0.5104166666666666,0.309375,1
100075,0.28627452,0.42352942,0.4,0.36993465,0.046493825,0.20963986,0.04705882,0.070415,0.7333333333333333,0.4,1
100075,0.25882354,0.42745098,0.3882353,0.35816994,0.12361656,2.8272676,0.11895424,0.08292461,0.0958333333333333,0.534375,1
100075,0.09411765,0.19607843,0.18431373,0.15816994,0.20571318,1.3863152,0.113725506,0.07122157,0.64375,0.734375,1
100075,0.13725491,0.18431373,0.12941177,0.1503268,0.17818175,2.298566,0.11895424,0.068373546,0.8770833333333333,0.76875,1
100075,0.12941177,0.2509804,0.21960784,0.2,0.23457289,-2.9611857,0.0013072118,0.08501919,0.4479166666666667,0.79375,1
100075,0.45490196,0.43137255,0.32941177,0.40522876,0.042313997,-1.673878,0.040522873,0.03284372,0.7041666666666667,0.559375,1
100075,0.19607843,0.28235295,0.23137255,0.23660131,0.0064545106,-2.914794,0.053594798,0.026492773,0.8020833333333334,0.56875,1
100075,0.24313726,0.27450982,0.18431373,0.23398693,0.1570227,0.34903422,0.0013071746,0.053224407,0.9166666666666666,0.603125,1
100075,0.25882354,0.30980393,0.23921569,0.26928106,0.30579334,1.5122263,0.16862743,0.10312991,0.6,0.921875,1
100075,0.18431373,0.26666668,0.2,0.21699347,0.16854791,1.1161344,0.2143791,0.07960131,0.825,0.8125,1
100075,0.32156864,0.40392157,0.36862746,0.3647059,0.27164924,1.665326,0.1647059,0.13290772,0.4229166666666666,0.34375,1
100075,0.25882354,0.36862746,0.32156864,0.31633988,0.22479452,2.0373313,0.01307191,0.055877477,0.13125,0.546875,1
100075,0.11372549,0.25490198,0.24705882,0.20522876,0.06153788,0.28693888,0.028758168,0.042616922,0.1875,0.9125,1
100075,0.21568628,0.40784314,0.42745098,0.3503268,0.102363914,1.7273983,0.005228758,0.051487632,0.24375,0.74375,1
100075,0.27058825,0.36862746,0.34509805,0.3281046,0.25580987,1.4513674,0.16339871,0.1346414,0.3458333333333333,0.315625,1
100075,0.5254902,0.5372549,0.49411765,0.5189542,0.49934313,1.7875738,0.061437726,0.15404093,0.56875,0.309375,1
100075,0.30588236,0.41960785,0.4,0.3751634,0.05758883,0.6182964,0.02352941,0.033498015,0.7104166666666667,0.64375,1
100075,0.36862746,0.38431373,0.28627452,0.34640524,0.049535535,1.354246,0.027450979,0.025034089,0.70625,0.6125,1
100075,0.22352941,0.42352942,0.4392157,0.3620915,0.15303093,-1.1368431,0.086274505,0.07739503,0.8520833333333333,0.69375,1
100075,0.15294118,0.18431373,0.1254902,0.15424837,0.16441041,2.4604182,0.18692811,0.0559124,0.9166666666666666,0.75625,1
100075,0.16078432,0.22352941,0.18039216,0.1882353,0.029252058,2.167973,0.005228758,0.048769612,0.7645833333333333,0.765625,1
100075,0.2509804,0.34509805,0.2901961,0.29542485,0.19052207,-0.5238705,0.084967345,0.062989585,0.61875,0.8,1
100075,0.23529412,0.28235295,0.23529412,0.2509804,0.20921162,0.6772689,0.15816991,0.058527656,0.5166666666666667,0.725,1
100075,0.3372549,0.42352942,0.41568628,0.39215687,0.2472086,1.2973354,0.1346406,0.1347303,0.4395833333333333,0.3375,1
100075,0.25490198,0.3372549,0.2627451,0.28496733,0.16657138,0.8470483,0.12679738,0.12267295,0.9416666666666668,0.315625,1
100075,0.1764706,0.29411766,0.2627451,0.24444444,0.15937063,0.26412216,0.0039215386,0.06357831,0.7916666666666666,0.634375,1
100075,0.21960784,0.27058825,0.2,0.23006536,0.015957607,-1.3258177,0.027450979,0.070350476,0.9458333333333332,0.759375,1
100075,0.1764706,0.23137255,0.18039216,0.19607843,0.10762473,-1.1493772,0.043137237,0.036693297,0.7333333333333333,0.753125,1
100075,0.17254902,0.21568628,0.15294118,0.18039216,0.048591014,-2.920764,0.13594772,0.04373023,0.9104166666666668,0.69375,1
100075,0.105882354,0.2509804,0.22352941,0.19346406,0.07605449,2.302193,0.14509808,0.052806664,0.4520833333333333,0.83125,1
100075,0.15294118,0.18431373,0.14117648,0.15947713,0.06500039,2.3456686,0.04836601,0.024722138,0.88125,0.615625,1
100075,0.31764707,0.40784314,0.3764706,0.36732027,0.2731914,1.5211917,0.16078433,0.1354986,0.4208333333333333,0.34375,1
100075,0.32156864,0.56078434,0.63529414,0.5058823,0.058480136,-0.89088744,0.043137312,0.085078195,0.3333333333333333,0.965625,1
100075,0.101960786,0.1882353,0.14117648,0.14379086,0.13512276,0.04656122,0.22745098,0.090382904,0.5145833333333333,0.84375,1
